regroupement1,date_arrondie,annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,besoin_marche_t,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,type_max,cyclone,nom,besoin_marche_kg,quotas_realise_kg,poids_enquete_t
Ananas,2012-01-01,2012,1,TOTAL FRUITS (HORS VANILLE),79017,60466,13677146,226.19564714054175,50,NA,NA,NA,0,NA,NA,NA,50000,0,79.017
Ananas,2012-02-01,2012,2,TOTAL FRUITS (HORS VANILLE),13760,12298.149902,3231555,262.7675728260935,50,NA,NA,NA,0,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,50000,0,13.76
Ananas,2012-03-01,2012,3,TOTAL FRUITS (HORS VANILLE),14535,4988.189941,1893909.5,379.6787055827953,50,NA,NA,NA,0,NA,NA,NA,50000,0,14.535
Ananas,2012-04-01,2012,4,TOTAL FRUITS (HORS VANILLE),33280,13567,5228360,385.3733323505565,50,NA,NA,NA,0,NA,NA,NA,50000,0,33.28
Ananas,2012-05-01,2012,5,TOTAL FRUITS (HORS VANILLE),35750,15713,5766915,367.0155285432445,50,NA,NA,NA,0,NA,NA,NA,50000,0,35.75
Ananas,2012-06-01,2012,6,TOTAL FRUITS (HORS VANILLE),31763,19808.09961,6563893,331.3741918324289,50,NA,NA,NA,0,NA,NA,NA,50000,0,31.763
Ananas,2012-07-01,2012,7,TOTAL FRUITS (HORS VANILLE),29294,14816.7168,5212361,351.78920339491134,50,NA,NA,NA,0,NA,NA,NA,50000,0,29.294
Ananas,2012-08-01,2012,8,TOTAL FRUITS (HORS VANILLE),35790,11456.5,3857305,336.6913978963907,50,NA,NA,NA,0,NA,NA,NA,50000,0,35.79
Ananas,2012-09-01,2012,9,TOTAL FRUITS (HORS VANILLE),46941,21835.5,7519840,344.3859769641181,50,NA,NA,NA,0,NA,NA,NA,50000,0,46.941
Ananas,2012-10-01,2012,10,TOTAL FRUITS (HORS VANILLE),54540,21307.34998,7109432,333.6610140009537,50,NA,NA,NA,0,NA,NA,NA,50000,0,54.54
Ananas,2012-11-01,2012,11,TOTAL FRUITS (HORS VANILLE),52950,20650,7585300,367.3268765133172,50,NA,NA,NA,0,NA,NA,NA,50000,0,52.95
Ananas,2012-12-01,2012,12,TOTAL FRUITS (HORS VANILLE),67380,37612.58008,9651125.5,256.59301966184074,50,NA,NA,NA,0,NA,NA,NA,50000,0,67.38
Ananas,2013-01-01,2013,1,TOTAL FRUITS (HORS VANILLE),46502,25495,4634691,181.78823298686015,50,NA,NA,NA,0,"Cyclone tropical
intense","Freda
(Cyclone
tropical
intense)",Freda,50000,0,46.502
Ananas,2013-02-01,2013,2,TOTAL FRUITS (HORS VANILLE),33071,17332.45996,5544701.75,319.9027583387534,50,NA,NA,NA,0,NA,NA,NA,50000,0,33.071
Ananas,2013-03-01,2013,3,TOTAL FRUITS (HORS VANILLE),33033,8296.550049000001,2408162.75,290.2607391960783,50,NA,NA,NA,0,"Cyclone tropical
intense","Sandra
(Cyclone
tropical
intense)",Sandra,50000,0,33.033
Ananas,2013-04-01,2013,4,TOTAL FRUITS (HORS VANILLE),39801,14204.3302,4384754,308.6913594841663,50,NA,NA,NA,0,NA,NA,NA,50000,0,39.801
