annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,besoin_marche_kg,quotas_realise_kg,poids_enquete_t
2012,2,TOTAL LEGUMES,351720.5,164108.20112146504,47109362,287.0628139122182,94.2421329650262,NA,NA,NA,NA,0,Total legumes,2012-02-01,724,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,724000,0,351.7205
2012,12,TOTAL LEGUMES,619449.1,378692.11162186007,83089362,219.4113884341172,80.59003962938735,NA,NA,NA,NA,0,Total legumes,2012-12-01,732,NA,NA,NA,732000,0,619.4490999999999
2012,4,TOTAL LEGUMES,340793.70000000007,192072.806468321,54531861.053761005,283.9124499529561,106.9818546430411,NA,NA,NA,NA,0,Total legumes,2012-04-01,464,NA,NA,NA,464000,0,340.79370000000006
2013,10,TOTAL LEGUMES,864397.3999999999,586668,133420680,227.4210967702346,81.62796701971182,NA,NA,NA,NA,0,Total legumes,2013-10-01,737,NA,NA,NA,737000,0,864.3974
2013,7,TOTAL LEGUMES,704262.6,367758.11256161606,121925974.289255,331.5385035016104,99.74147405730989,NA,NA,NA,NA,0,Total legumes,2013-07-01,737,NA,NA,NA,737000,0,704.2626
2013,3,TOTAL LEGUMES,642566.05,252146.10961589147,79897783.225476,316.87097352875617,91.45479569907415,NA,NA,NA,NA,0,Total legumes,2013-03-01,719,"Cyclone tropical
intense","Sandra
(Cyclone
tropical
intense)",Sandra,719000,0,642.56605
2014,6,TOTAL LEGUMES,708929.4,315658,97538883,309.0017772399242,95.1712453870102,NA,NA,NA,NA,0,Total legumes,2014-06-01,737,NA,NA,NA,737000,0,708.9294
2015,4,TOTAL LEGUMES,362098.5500000001,151547,67336523,444.3276541271025,103.74251673936712,NA,NA,NA,NA,0,Total legumes,2015-04-01,459,NA,NA,NA,459000,0,362.0985500000001
2016,2,TOTAL LEGUMES,468214.5,236508,71341200,301.6439190217667,93.55576162626323,NA,NA,NA,NA,0,Total legumes,2016-02-01,724,NA,NA,NA,724000,0,468.2145
2016,10,TOTAL LEGUMES,1092725.3000000005,411659.2,100886900,245.07383777649085,82.66589441003629,NA,NA,NA,NA,0,Total legumes,2016-10-01,737,NA,NA,NA,737000,0,1092.7253000000005
2016,4,TOTAL LEGUMES,398931.05,207820,72088480,346.87941487826004,109.1665243920305,NA,NA,NA,NA,0,Total legumes,2016-04-01,459,NA,NA,NA,459000,0,398.93104999999997
2017,3,TOTAL LEGUMES,417229,185933.2,74290197,399.5531567251034,106.18666833593768,NA,NA,NA,NA,0,Total legumes,2017-03-01,614,NA,NA,NA,614000,0,417.229
2017,7,TOTAL LEGUMES,842379.3,242478,85052851,350.76522818564985,96.08361704463412,NA,NA,NA,NA,0,Total legumes,2017-07-01,737,NA,NA,NA,737000,0,842.3793000000001
2017,8,TOTAL LEGUMES,1052586.9,360447,107009255,296.8793054179949,91.95701862987634,NA,NA,NA,NA,0,Total legumes,2017-08-01,737,NA,NA,NA,737000,0,1052.5869
2018,1,TOTAL LEGUMES,649703.8,300058,87398374,291.27160082384074,100.20184507721189,NA,NA,NA,NA,0,Total legumes,2018-01-01,579,NA,NA,NA,579000,0,649.7038
2018,8,TOTAL LEGUMES,1091080.6,75667.75000000001,19270644,254.67446831708352,90.3499052513094,NA,NA,NA,NA,0,Total legumes,2018-08-01,737,NA,NA,NA,737000,0,1091.0806
2018,2,TOTAL LEGUMES,436155.4,165692.69999999998,65242859,393.7581981583981,102.52044094108189,NA,NA,NA,NA,0,Total legumes,2018-02-01,729,"Cyclone tropical
très intense","Gita
(Cyclone
tropical
très
intense)",Gita,729000,0,436.15540000000004
2019,11,TOTAL LEGUMES,1210497.5,146659.05,38227949,260.658643295453,85.1267867709669,NA,NA,NA,NA,0,Total legumes,2019-11-01,737,NA,NA,NA,737000,0,1210.4975
2019,8,TOTAL LEGUMES,1038982.4,217178.35000000003,67952382,312.887458625595,95.34702341279096,NA,NA,NA,NA,0,Total legumes,2019-08-01,737,NA,NA,NA,737000,0,1038.9824
2019,6,TOTAL LEGUMES,658110.1000000001,138659.55,49069836,353.88717185365164,95.67346831781236,NA,NA,NA,NA,0,Total legumes,2019-06-01,582,NA,NA,NA,582000,0,658.1101000000001
2019,7,TOTAL LEGUMES,933797.9,170576.4,57352665.8,336.2286095849133,96.0082836050138,NA,NA,NA,NA,0,Total legumes,2019-07-01,737,NA,NA,NA,737000,0,933.7979
2020,10,TOTAL LEGUMES,1044939,295399.41,74307282,251.54851189445503,83.6236829720494,68.74201365632344,NA,NA,NA,0,Total legumes,2020-10-01,737,NA,NA,NA,737000,0,1044.939
2021,12,TOTAL LEGUMES,506298,187567.17,69048504,368.1268102514955,100,91.91063402845369,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999995,Total legumes,2021-12-01,724,NA,NA,NA,724000,1385588.9999999995,506.298
2021,4,TOTAL LEGUMES,316173.4,146210.87,76523921,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0,Total legumes,2021-04-01,609,NA,NA,NA,609000,0,316.1734
2022,2,TOTAL LEGUMES,328508.5,108496.39,57145556,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.968,Total legumes,2022-02-01,751,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,751000,454968,328.5085
2022,4,TOTAL LEGUMES,353177.1,96591.05,52174405,540.1577578875061,133.74250922475994,147,2022-04-16,2022-05-15,993.29,366.8769999999999,Total legumes,2022-04-01,751,NA,NA,NA,751000,366876.9999999999,353.1771
2022,3,TOTAL LEGUMES,339157,106290.05,59675407,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999995,350.992,Total legumes,2022-03-01,751,NA,NA,NA,751000,350992,339.157
2022,7,TOTAL LEGUMES,564254.5,147399.38,68039515,461.5997367153105,122.86855988310438,116.21493317318404,2022-07-16,2022-08-15,469.47,199.28900000000004,Total legumes,2022-07-01,751,NA,NA,NA,751000,199289.00000000006,564.2545
2023,6,TOTAL LEGUMES,403144,132011.41,63893732,484.0015874385403,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308,Total legumes,2023-06-01,751,NA,NA,NA,751000,359308,403.144
2023,2,TOTAL LEGUMES,310164,86046.69999999998,43897246,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538,Total legumes,2023-02-01,751,NA,NA,NA,751000,536538,310.164
2023,5,TOTAL LEGUMES,394799,118086.15,59405577,503.0698096262771,143.34122826872488,128.00911118681103,2023-05-16,2023-06-15,787.9929999999998,588.9710000000001,Total legumes,2023-05-01,751,NA,NA,NA,751000,588971.0000000001,394.799
