annee,date_arrondie,variete,categorie,prix_moyen
2013,2013-03-01,Ananas,Prix moyen du produit importé en magasin,45
2013,2013-03-01,Melon,Prix moyen du produit importé en magasin,110
2013,2013-03-01,Nectarine,Prix moyen du produit importé en magasin,440
2013,2013-03-01,Pastèque,Prix moyen du produit importé en magasin,70
2013,2013-04-01,Ananas,Prix moyen du produit importé en magasin,45
2013,2013-04-01,Melon,Prix moyen du produit importé en magasin,110
2013,2013-04-01,Nectarine,Prix moyen du produit importé en magasin,440
2013,2013-04-01,Pastèque,Prix moyen du produit importé en magasin,70
2013,2013-07-01,Oignons,Prix moyen du produit local en magasin,400
2013,2013-08-01,Carotte,Prix moyen du produit importé en magasin,690
2013,2013-08-01,Oignons,Prix moyen du produit importé en magasin,382.6
2013,2013-08-01,Oignons,Prix moyen du produit local en magasin,421
2013,2013-10-01,Oignons,Prix moyen du produit local en magasin,365
2014,2014-01-01,Ananas,Prix moyen du produit local en magasin,712.5
2014,2014-01-01,Banane,Prix moyen du produit local en magasin,610
2014,2014-01-01,Carotte,Prix moyen du produit local en magasin,450
2014,2014-01-01,Chou Rouge,Prix moyen du produit local en magasin,480
2014,2014-01-01,"Citron, Lime",Prix moyen du produit local en magasin,400
2014,2014-01-01,Concombre,Prix moyen du produit local en magasin,431.25
2014,2014-01-01,Mangue,Prix moyen du produit local en magasin,550
2014,2014-01-01,Melon,Prix moyen du produit local en magasin,1050
2014,2014-01-01,Oignons,Prix moyen du produit importé en magasin,116
2014,2014-01-01,Orange,Prix moyen du produit importé en magasin,415
2014,2014-01-01,Orange,Prix moyen du produit local en magasin,510
2014,2014-01-01,Papaye,Prix moyen du produit local en magasin,250
2014,2014-01-01,Pastèque,Prix moyen du produit local en magasin,300
2014,2014-01-01,Salade,Prix moyen du produit local en magasin,650
2014,2014-01-01,Tomate,Prix moyen du produit importé en magasin,980
2014,2014-01-01,Tomate,Prix moyen du produit local en magasin,815
2014,2014-02-01,Ail,Prix moyen du produit importé en magasin,160
2014,2014-02-01,Banane,Prix moyen du produit local en magasin,420
2014,2014-02-01,Brocoli,Prix moyen du produit importé en magasin,955
2014,2014-02-01,Carotte,Prix moyen du produit importé en magasin,162
2014,2014-02-01,Chou De Chine,Prix moyen du produit importé en magasin,679
2014,2014-02-01,"Citron, Lime",Prix moyen du produit local en magasin,650
2014,2014-02-01,Concombre,Prix moyen du produit local en magasin,330
2014,2014-02-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,650
2014,2014-02-01,Mangue,Prix moyen du produit local en magasin,472
2014,2014-02-01,Melon,Prix moyen du produit local en magasin,850
2014,2014-02-01,Oignons,Prix moyen du produit importé en magasin,130
2014,2014-02-01,Oignons,Prix moyen du produit local en magasin,130
2014,2014-02-01,Orange,Prix moyen du produit importé en magasin,505
2014,2014-02-01,Orange,Prix moyen du produit local en magasin,520
2014,2014-02-01,Papaye,Prix moyen du produit local en magasin,390
2014,2014-02-01,Pastèque,Prix moyen du produit local en magasin,340
2014,2014-03-01,Ail,Prix moyen du produit importé en magasin,713
2014,2014-03-01,Ananas,Prix moyen du produit importé en magasin,45
2014,2014-03-01,Ananas,Prix moyen du produit local en magasin,717.6
2014,2014-03-01,Banane,Prix moyen du produit local en magasin,438.75
2014,2014-03-01,Brocoli,Prix moyen du produit importé en magasin,875
2014,2014-03-01,Carotte,Prix moyen du produit importé en magasin,218.1818181818182
2014,2014-03-01,Carotte,Prix moyen du produit local en magasin,382.5
2014,2014-03-01,Chou De Chine,Prix moyen du produit local en magasin,589
2014,2014-03-01,Chou Rouge,Prix moyen du produit importé en magasin,570
2014,2014-03-01,Chou-Fleur,Prix moyen du produit importé en magasin,733
2014,2014-03-01,Chou-Fleur,Prix moyen du produit local en magasin,540
2014,2014-03-01,Chouchoute,Prix moyen du produit local en magasin,200
2014,2014-03-01,"Citron, Lime",Prix moyen du produit local en magasin,662.5
2014,2014-03-01,Concombre,Prix moyen du produit importé en magasin,472.5
2014,2014-03-01,Concombre,Prix moyen du produit local en magasin,501.75
2014,2014-03-01,Courgette,Prix moyen du produit importé en magasin,609
2014,2014-03-01,Courgette,Prix moyen du produit local en magasin,611
2014,2014-03-01,Céleri,Prix moyen du produit importé en magasin,718.75
2014,2014-03-01,Céleri,Prix moyen du produit local en magasin,650
2014,2014-03-01,"Mandarine, Clémentine",Prix moyen du produit importé en magasin,837.1428571428571
2014,2014-03-01,"Mandarine, Clémentine",Prix moyen du produit local en magasin,628.3333333333334
2014,2014-03-01,Mangue,Prix moyen du produit local en magasin,648.6666666666666
2014,2014-03-01,Melon,Prix moyen du produit importé en magasin,197.33333333333334
2014,2014-03-01,Melon,Prix moyen du produit local en magasin,732
2014,2014-03-01,Navet,Prix moyen du produit local en magasin,425
2014,2014-03-01,Nectarine,Prix moyen du produit importé en magasin,511.5625
2014,2014-03-01,Oignons,Prix moyen du produit importé en magasin,172.55555555555554
2014,2014-03-01,Oignons,Prix moyen du produit local en magasin,181.66666666666666
