annee,date_arrondie,sous_famille,categorie,prix_moyen
2013,2013-03-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,440
2013,2013-03-01,fruit exotique,Prix moyen du produit importé en magasin,45
2013,2013-03-01,"melon, pastèque",Prix moyen du produit importé en magasin,90
2013,2013-04-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,440
2013,2013-04-01,fruit exotique,Prix moyen du produit importé en magasin,45
2013,2013-04-01,"melon, pastèque",Prix moyen du produit importé en magasin,90
2013,2013-07-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,400
2013,2013-08-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,382.6
2013,2013-08-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,421
2013,2013-08-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,690
2013,2013-10-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,365
2014,2014-01-01,agrume,Prix moyen du produit importé en magasin,415
2014,2014-01-01,agrume,Prix moyen du produit local en magasin,455
2014,2014-01-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,116
2014,2014-01-01,"banane, kiwi",Prix moyen du produit local en magasin,610
2014,2014-01-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,450
2014,2014-01-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,480
2014,2014-01-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,431.25
2014,2014-01-01,fruit exotique,Prix moyen du produit local en magasin,556.25
2014,2014-01-01,"melon, pastèque",Prix moyen du produit local en magasin,675
2014,2014-01-01,salade et tomate,Prix moyen du produit importé en magasin,980
2014,2014-01-01,salade et tomate,Prix moyen du produit local en magasin,760
2014,2014-02-01,agrume,Prix moyen du produit importé en magasin,553.3333333333334
2014,2014-02-01,agrume,Prix moyen du produit local en magasin,585
2014,2014-02-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,145
2014,2014-02-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,130
