annee,mois,regroupement2,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,name,value
2012,2,TOTAL LEGUMES,47109362,287.0628139122182,94.2421329650262,NA,NA,NA,NA,0,Total legumes,2012-02-01,724,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,"Volume déclaré
commercialisé par
les producteurs",351720.5
2012,2,TOTAL LEGUMES,47109362,287.0628139122182,94.2421329650262,NA,NA,NA,NA,0,Total legumes,2012-02-01,724,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,"Volume écoulé par
le marché de gros",164108.20112146504
2012,2,TOTAL LEGUMES,47109362,287.0628139122182,94.2421329650262,NA,NA,NA,NA,0,Total legumes,2012-02-01,724,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,"Besoin estimé
du marché",724000
2012,12,TOTAL LEGUMES,83089362,219.4113884341172,80.59003962938735,NA,NA,NA,NA,0,Total legumes,2012-12-01,732,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",619449.1
2012,12,TOTAL LEGUMES,83089362,219.4113884341172,80.59003962938735,NA,NA,NA,NA,0,Total legumes,2012-12-01,732,NA,NA,NA,"Volume écoulé par
le marché de gros",378692.11162186007
2012,12,TOTAL LEGUMES,83089362,219.4113884341172,80.59003962938735,NA,NA,NA,NA,0,Total legumes,2012-12-01,732,NA,NA,NA,"Besoin estimé
du marché",732000
2012,4,TOTAL LEGUMES,54531861.053761005,283.9124499529561,106.9818546430411,NA,NA,NA,NA,0,Total legumes,2012-04-01,464,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",340793.70000000007
2012,4,TOTAL LEGUMES,54531861.053761005,283.9124499529561,106.9818546430411,NA,NA,NA,NA,0,Total legumes,2012-04-01,464,NA,NA,NA,"Volume écoulé par
le marché de gros",192072.806468321
2012,4,TOTAL LEGUMES,54531861.053761005,283.9124499529561,106.9818546430411,NA,NA,NA,NA,0,Total legumes,2012-04-01,464,NA,NA,NA,"Besoin estimé
du marché",464000
2013,10,TOTAL LEGUMES,133420680,227.4210967702346,81.62796701971182,NA,NA,NA,NA,0,Total legumes,2013-10-01,737,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",864397.3999999999
2013,10,TOTAL LEGUMES,133420680,227.4210967702346,81.62796701971182,NA,NA,NA,NA,0,Total legumes,2013-10-01,737,NA,NA,NA,"Volume écoulé par
le marché de gros",586668
2013,10,TOTAL LEGUMES,133420680,227.4210967702346,81.62796701971182,NA,NA,NA,NA,0,Total legumes,2013-10-01,737,NA,NA,NA,"Besoin estimé
du marché",737000
2013,7,TOTAL LEGUMES,121925974.289255,331.5385035016104,99.74147405730989,NA,NA,NA,NA,0,Total legumes,2013-07-01,737,NA,NA,NA,"Volume déclaré
commercialisé par
les producteurs",704262.6
2013,7,TOTAL LEGUMES,121925974.289255,331.5385035016104,99.74147405730989,NA,NA,NA,NA,0,Total legumes,2013-07-01,737,NA,NA,NA,"Volume écoulé par
le marché de gros",367758.11256161606
2013,7,TOTAL LEGUMES,121925974.289255,331.5385035016104,99.74147405730989,NA,NA,NA,NA,0,Total legumes,2013-07-01,737,NA,NA,NA,"Besoin estimé
du marché",737000
2013,3,TOTAL LEGUMES,79897783.225476,316.87097352875617,91.45479569907415,NA,NA,NA,NA,0,Total legumes,2013-03-01,719,"Cyclone tropical
intense","Sandra
(Cyclone
tropical
intense)",Sandra,"Volume déclaré
commercialisé par
les producteurs",642566.05
