variete,annee,categorie
Abricot,2023,import
Agrume : Autres,2017,local|import
Agrume : Autres,2018,local|import
Agrume : Autres,2019,import|local
Agrume : Autres,2020,local|import
Agrume : Autres,2021,local|import
Agrume : Autres,2022,local|import
Agrume : Autres,2023,import|local
Ail,2014,import
Ail,2017,local|import
Ail,2018,import
Ail,2019,import
Ail,2020,import
Ail,2021,import
Ail,2022,import
Ail,2023,import|local
Ananas,2013,import
Ananas,2014,local|import
Ananas,2017,local|import
Ananas,2018,local|import
Ananas,2019,import|local
Ananas,2020,import|local
Ananas,2021,import|local
Ananas,2022,import|local
Ananas,2023,import|local
Asperge,2017,import
Asperge,2018,import
Asperge,2019,import
Asperge,2020,import
Asperge,2021,import
Asperge,2022,import
Asperge,2023,import
Aubergine,2014,local
Aubergine,2016,local
Aubergine,2017,local|import
Aubergine,2018,import|local
Aubergine,2019,local|import
Aubergine,2020,import|local
Aubergine,2021,import|local
Aubergine,2022,import|local
Aubergine,2023,local|import
Avocat,2018,import|local
Avocat,2019,import|local
Avocat,2020,import|local
Avocat,2021,local|import
Avocat,2022,local|import
Avocat,2023,local|import
Banane,2014,local
Banane,2015,local
Banane,2017,local
Banane,2018,import|local
Banane,2019,local|import
Banane,2020,local|import
Banane,2021,import|local
Banane,2022,local|import
Banane,2023,local|import
Banane Poingo,2014,local
Banane Poingo,2016,local
Banane Poingo,2017,local
Banane Poingo,2018,local
Banane Poingo,2019,import|local
Banane Poingo,2020,local|import
Banane Poingo,2021,local|import
Banane Poingo,2022,local
Banane Poingo,2023,import|local
Banane Verte,2018,local
Banane Verte,2019,local|import
Banane Verte,2020,local
Banane Verte,2021,local
Banane Verte,2022,local
Banane Verte,2023,local
Basilic,2017,local
Basilic,2018,local
Basilic,2019,local
Basilic,2020,local
Basilic,2021,local
Basilic,2022,local
Basilic,2023,local
Betterave,2017,local|import
Betterave,2018,local|import
Betterave,2019,import|local
Betterave,2020,import|local
Betterave,2021,import|local
Betterave,2022,local|import
Betterave,2023,local|import
Brocoli,2014,import
Brocoli,2017,local|import
Brocoli,2018,local|import
Brocoli,2019,local|import
Brocoli,2020,local|import
Brocoli,2021,local|import
Brocoli,2022,local|import
Brocoli,2023,import|local
Carotte,2013,import
Carotte,2014,local|import
Carotte,2015,import
Carotte,2017,import|local
Carotte,2018,import|local
Carotte,2019,local|import
Carotte,2020,local|import
Carotte,2021,import|local
Carotte,2022,local|import
Carotte,2023,import|local
Cerise,2018,import
Cerise,2019,import
Cerise,2020,import
Cerise,2021,import
Cerise,2022,import
Cerise,2023,import
Champignon,2017,local
Champignon,2018,local
Champignon,2019,local
Champignon,2020,local
Champignon,2021,local
Champignon,2022,local
Champignon,2023,local
Chou : Autres,2017,import
Chou : Autres,2018,import|local
Chou : Autres,2019,import|local
Chou : Autres,2020,import|local
Chou : Autres,2021,local|import
Chou : Autres,2022,import|local
Chou : Autres,2023,local|import
Chou De Chine,2014,local|import
Chou De Chine,2015,local
Chou De Chine,2017,local|import
Chou De Chine,2018,local|import
Chou De Chine,2019,import|local
Chou De Chine,2020,local|import
Chou De Chine,2021,local|import
Chou De Chine,2022,local|import
Chou De Chine,2023,local|import
Chou Rouge,2014,local|import
Chou Rouge,2017,local|import
Chou Rouge,2018,local|import
Chou Rouge,2019,import|local
Chou Rouge,2020,import|local
Chou Rouge,2021,local|import
Chou Rouge,2022,local|import
Chou Rouge,2023,import|local
Chou Vert,2014,local|import
Chou Vert,2015,import
Chou Vert,2016,local
Chou Vert,2017,local|import
Chou Vert,2018,local|import
Chou Vert,2019,local|import
Chou Vert,2020,local|import
Chou Vert,2021,local|import
Chou Vert,2022,local|import
Chou Vert,2023,local|import
Chou-Fleur,2014,local|import
Chou-Fleur,2017,local|import
Chou-Fleur,2018,local|import
Chou-Fleur,2019,import|local
Chou-Fleur,2020,local|import
Chou-Fleur,2021,local|import
Chou-Fleur,2022,local|import
Chou-Fleur,2023,local|import
Chouchoute,2014,local
Chouchoute,2017,local
Chouchoute,2018,local
Chouchoute,2019,local
Chouchoute,2020,local
Chouchoute,2021,local
Chouchoute,2022,local
Chouchoute,2023,local
"Ciboulette, Oignon Vert",2017,local
"Ciboulette, Oignon Vert",2018,local
"Ciboulette, Oignon Vert",2019,local
"Ciboulette, Oignon Vert",2020,local
"Ciboulette, Oignon Vert",2021,local
"Ciboulette, Oignon Vert",2022,local
"Ciboulette, Oignon Vert",2023,local
"Citron, Lime",2014,local
"Citron, Lime",2015,local
"Citron, Lime",2016,local
"Citron, Lime",2017,local
"Citron, Lime",2018,import|local
"Citron, Lime",2019,local|import
"Citron, Lime",2020,local|import
"Citron, Lime",2021,local|import
"Citron, Lime",2022,local|import
"Citron, Lime",2023,import|local
Citrouille,2014,local|import
Citrouille,2015,local
Citrouille,2016,local
Citrouille,2017,local|import
Citrouille,2018,local|import
Citrouille,2019,local|import
Citrouille,2020,local|import
Citrouille,2021,local|import
Citrouille,2022,local|import
Citrouille,2023,import|local
Combawa,2017,local
Combawa,2018,local
Combawa,2019,local
Combawa,2020,local
Combawa,2021,local
Combawa,2022,local
Combawa,2023,local
Concombre,2014,import|local
Concombre,2016,local
Concombre,2017,local|import
Concombre,2018,import|local
Concombre,2019,import|local
Concombre,2020,import|local
Concombre,2021,import|local
Concombre,2022,import|local
Concombre,2023,import|local
Corossol,2018,import
Corossol,2019,import
Corossol,2020,import
Corossol,2021,import
Corossol,2022,import
Corossol,2023,import
Courgette,2014,import|local
Courgette,2017,local|import
Courgette,2018,import|local
Courgette,2019,import|local
Courgette,2020,local|import
Courgette,2021,import|local
Courgette,2022,import|local
Courgette,2023,local|import
Cresson,2017,local
Cresson,2018,local
Cresson,2019,local
Cresson,2020,local
Cresson,2021,local
Cresson,2022,local
Cresson,2023,local|import
Céleri,2014,local|import
Céleri,2017,local|import
Céleri,2018,local|import
Céleri,2019,import|local
Céleri,2020,local|import
Céleri,2021,local|import
Céleri,2022,local|import
Céleri,2023,local|import
Endive,2014,import
Endive,2017,local|import
Endive,2018,local|import
Endive,2019,import|local
Endive,2020,local|import
Endive,2021,local|import
Endive,2022,local|import
Endive,2023,import|local
Fraise,2013,import
Fraise,2014,import
Fraise,2018,local
Fraise,2019,local
Fraise,2021,local
Fraise,2023,local|import
Framboise,2013,import
Framboise,2014,import
Framboise,2018,import
Framboise,2019,import
Framboise,2020,import
Framboise,2021,import
Framboise,2022,import
Framboise,2023,import
"Fruit De La Passion, Pomme-Liane",2017,local
"Fruit De La Passion, Pomme-Liane",2018,local
"Fruit De La Passion, Pomme-Liane",2019,local
"Fruit De La Passion, Pomme-Liane",2020,local
"Fruit De La Passion, Pomme-Liane",2021,local
"Fruit De La Passion, Pomme-Liane",2022,local|import
