annee,variete,commune,import,local
2013,Ananas,Bourail,45,NA
2013,Ananas,Dumbéa,45,NA
2013,Ananas,Koné,45,NA
2013,Ananas,La Foa,45,NA
2013,Ananas,Nouméa,45,NA
2013,Carotte,Houailou,690,NA
2013,Fraise,Bourail,250,NA
2013,Fraise,Dumbéa,250,NA
2013,Fraise,Koné,250,NA
2013,Fraise,La Foa,250,NA
2013,Fraise,Nouméa,250,NA
2013,Framboise,Bourail,475,NA
2013,Framboise,Dumbéa,475,NA
2013,Framboise,Koné,475,NA
2013,Framboise,La Foa,475,NA
2013,Framboise,Nouméa,475,NA
2013,Fruit Exotique : Autres,Bourail,122.33333333333333,NA
2013,Fruit Exotique : Autres,Dumbéa,122.33333333333333,NA
2013,Fruit Exotique : Autres,Koné,122.33333333333333,NA
2013,Fruit Exotique : Autres,La Foa,122.33333333333333,NA
2013,Fruit Exotique : Autres,Nouméa,122.33333333333333,NA
2013,Melon,Bourail,110,NA
2013,Melon,Dumbéa,110,NA
2013,Melon,Koné,110,NA
2013,Melon,La Foa,110,NA
2013,Melon,Nouméa,110,NA
2013,Nectarine,Bourail,440,NA
2013,Nectarine,Dumbéa,440,NA
2013,Nectarine,Koné,440,NA
2013,Nectarine,La Foa,440,NA
2013,Nectarine,Nouméa,440,NA
2013,Oignon Jaune,Houailou,515,NA
2013,Oignon Jaune,Koumac,115,NA
2013,Oignon Jaune,La Foa,533,360
2013,Oignon Jaune,Moindou,NA,374
2013,Oignon Jaune,Mont-Dore,NA,450
2013,Oignon Jaune,Nouméa,NA,365
2013,Oignon Jaune,Ouégoa,350,NA
2013,Oignon Jaune,Voh,400,NA
2013,Pastèque,Bourail,70,NA
2013,Pastèque,Dumbéa,70,NA
2013,Pastèque,Koné,70,NA
2013,Pastèque,La Foa,70,NA
2013,Pastèque,Nouméa,70,NA
2014,Ail,Dumbéa,350,NA
2014,Ail,Nouméa,627.8571428571429,NA
2014,Ail,Ouvéa,1130,NA
2014,Ail,Païta,960,NA
2014,Ail,Thio,391.5,NA
2014,Ananas,Bourail,45,NA
2014,Ananas,Dumbéa,45,NA
2014,Ananas,Koné,45,NA
2014,Ananas,La Foa,45,600
2014,Ananas,Mont-Dore,NA,675
2014,Ananas,Nouméa,45,731.3333333333334
2014,Aubergine,Dumbéa,NA,540
2014,Banane,Bourail,NA,305
2014,Banane,Dumbéa,NA,461.5
2014,Banane,Mont-Dore,NA,610
2014,Banane,Nouméa,NA,498.125
2014,Banane Poingo,Dumbéa,NA,740
2014,Banane Poingo,Nouméa,NA,605
2014,Brocoli,Bourail,920,NA
2014,Brocoli,Nouméa,872.5,NA
2014,Carotte,Bourail,168.33333333333334,170
2014,Carotte,Dumbéa,313,NA
2014,Carotte,Ile Des Pins,NA,400
2014,Carotte,La Foa,170,NA
2014,Carotte,Mont-Dore,NA,450
2014,Carotte,Nouméa,205.58333333333334,495
2014,Carotte,Ouvéa,720,NA
2014,Carotte,Païta,340,NA
2014,Carotte,Thio,230,435
2014,Chou De Chine,Dumbéa,NA,243
2014,Chou De Chine,Nouméa,541.3333333333334,485.7142857142857
2014,Chou De Chine,Païta,NA,718
2014,Chou De Chine,Thio,NA,365
2014,Chou Rouge,Nouméa,570,480
2014,Chou Vert,Bourail,377.6666666666667,448
2014,Chou Vert,Dumbéa,550,280
2014,Chou Vert,Ile Des Pins,NA,650
2014,Chou Vert,La Foa,430,NA
2014,Chou Vert,Mont-Dore,NA,448.3333333333333
2014,Chou Vert,Nouméa,519.625,415
2014,Chou Vert,Ouvéa,530,NA
2014,Chou Vert,Païta,650,NA
2014,Chou Vert,Thio,210,210
2014,Chou-Fleur,Bourail,835,NA
2014,Chou-Fleur,La Foa,845,NA
2014,Chou-Fleur,Nouméa,315,540
2014,Chou-Fleur,Thio,650,NA
2014,Chouchoute,Dumbéa,NA,391.5
2014,Chouchoute,Nouméa,NA,200
2014,Chouchoute,Païta,NA,300
2014,"Citron, Lime",Nouméa,NA,591.1111111111111
2014,"Citron, Lime",Païta,NA,900
2014,Citrouille,Bourail,NA,200
2014,Citrouille,Nouméa,217.5,252.5
2014,Citrouille,Païta,NA,310
2014,Concombre,Bourail,450,630
2014,Concombre,Dumbéa,189,NA
2014,Concombre,Mont-Dore,NA,498.3333333333333
2014,Concombre,Nouméa,445,366
2014,Concombre,Ouvéa,665,NA
2014,Concombre,Païta,640,600
2014,Concombre,Thio,NA,205
2014,Courgette,Bourail,705,NA
2014,Courgette,Dumbéa,675,675
2014,Courgette,Nouméa,513,611
2014,Courgette,Païta,NA,800
2014,Courgette,Thio,NA,445
2014,Céleri,Dumbéa,NA,405
2014,Céleri,Nouméa,692,650
2014,Céleri,Païta,760,NA
2014,Céleri,Thio,NA,685
2014,Endive,Nouméa,1330,NA
2014,Fraise,Bourail,250,NA
2014,Fraise,Dumbéa,250,NA
2014,Fraise,Koné,250,NA
2014,Fraise,La Foa,250,NA
2014,Fraise,Nouméa,250,NA
2014,Framboise,Bourail,475,NA
2014,Framboise,Dumbéa,475,NA
2014,Framboise,Koné,475,NA
2014,Framboise,La Foa,475,NA
2014,Framboise,Nouméa,475,NA
2014,"Fruit Du Dragon, Pitaya",Nouméa,1150,915.625
2014,Fruit Exotique : Autres,Bourail,131,NA
2014,Fruit Exotique : Autres,Dumbéa,131,200
2014,Fruit Exotique : Autres,Koné,131,NA
2014,Fruit Exotique : Autres,La Foa,131,NA
2014,Fruit Exotique : Autres,Nouméa,142.234375,344.3333333333333
2014,Fruit Exotique : Autres,Païta,NA,120
2014,Gingembre,Nouméa,870,815
2014,Gingembre,Thio,975,NA
2014,Haricot Vert,Nouméa,1197.5,1092.5
2014,Igname,Dumbéa,NA,1109
2014,Igname,Nouméa,NA,795
2014,Igname,Païta,NA,1800
2014,Igname,Thio,NA,845
2014,Kiwi,Bourail,475,NA
2014,Kiwi,Nouméa,644.1666666666666,NA
2014,Kiwi,Païta,840,NA
2014,Kiwi,Thio,715,NA
2014,"Mandarine, Clémentine",Bourail,960,NA
2014,"Mandarine, Clémentine",Dumbéa,NA,473
2014,"Mandarine, Clémentine",La Foa,635,NA
2014,"Mandarine, Clémentine",Nouméa,801.4285714285714,671
2014,"Mandarine, Clémentine",Païta,870,NA
2014,Mangue,Dumbéa,NA,540
2014,Mangue,Nouméa,NA,593.6
2014,Maïs,Païta,NA,180
2014,Melon,Bourail,165,805
2014,Melon,Dumbéa,165,810
2014,Melon,Koné,165,NA
2014,Melon,La Foa,165,595
2014,Melon,Mont-Dore,NA,1050
2014,Melon,Nouméa,187.04545454545453,750
2014,Melon,Païta,690,NA
2014,Navet,Bourail,NA,360
2014,Navet,Dumbéa,NA,404
2014,Navet,Nouméa,NA,490
2014,Nectarine,Bourail,460,NA
2014,Nectarine,Dumbéa,460,NA
2014,Nectarine,Koné,460,NA
2014,Nectarine,La Foa,460,NA
2014,Nectarine,Nouméa,495.8695652173913,NA
2014,Oignon Blanc,Dumbéa,225,NA
2014,Oignon Blanc,Nouméa,150,NA
2014,Oignon Jaune,Bourail,131,189
2014,Oignon Jaune,Dumbéa,230,391
2014,Oignon Jaune,Ile Des Pins,NA,240
2014,Oignon Jaune,La Foa,163,NA
2014,Oignon Jaune,Nouméa,189.6,162
2014,Oignon Jaune,Païta,400,NA
2014,Oignon Jaune,Thio,297.5,330
2014,Orange,Bourail,421.6666666666667,NA
2014,Orange,Dumbéa,NA,458.3333333333333
2014,Orange,Mont-Dore,300,510
2014,Orange,Nouméa,493.375,492.1666666666667
2014,Orange,Païta,660,440
