geo_pict,time_period,imports_t,type,obs_value,Name,import_hab_kg
PF,1995,4982,Légumes et tubercules,215200,Polynésie Française,23.150557620817843
PF,1996,5583,Légumes et tubercules,219600,Polynésie Française,25.423497267759565
PF,1997,5721,Légumes et tubercules,224000,Polynésie Française,25.540178571428573
PF,1998,6206,Légumes et tubercules,228500,Polynésie Française,27.159737417943106
PF,1999,5936,Légumes et tubercules,232900,Polynésie Française,25.487333619579218
PF,2000,6955,Légumes et tubercules,237300,Polynésie Française,29.308891698272227
PF,2001,6333,Légumes et tubercules,240800,Polynésie Française,26.299833887043192
PF,2002,6009,Légumes et tubercules,244300,Polynésie Française,24.59680720425706
PF,2003,7498,Légumes et tubercules,247900,Polynésie Française,30.24606696248487
PF,2004,8030,Légumes et tubercules,251400,Polynésie Française,31.94112967382657
PF,2005,7172,Légumes et tubercules,254900,Polynésie Française,28.13652412710867
PF,2006,8743,Légumes et tubercules,257500,Polynésie Française,33.953398058252425
PF,2007,9040,Légumes et tubercules,260100,Polynésie Française,34.75586312956555
PF,2008,8989,Légumes et tubercules,262600,Polynésie Française,34.23076923076923
PF,2009,9423,Légumes et tubercules,265200,Polynésie Française,35.5316742081448
PF,2010,9072,Légumes et tubercules,267800,Polynésie Française,33.87602688573562
PF,2011,9226,Légumes et tubercules,269000,Polynésie Française,34.29739776951673
PF,2012,8701,Légumes et tubercules,270100,Polynésie Française,32.21399481673454
PF,2013,9022,Légumes et tubercules,271300,Polynésie Française,33.25469959454479
PF,2014,9175,Légumes et tubercules,272400,Polynésie Française,33.68208516886931
PF,2015,8593,Légumes et tubercules,273600,Polynésie Française,31.407163742690056
PF,2016,8258,Légumes et tubercules,274700,Polynésie Française,30.061885693483802
PF,2017,7825,Légumes et tubercules,275899,Polynésie Française,28.361828060268433
PF,2018,9362,Légumes et tubercules,276908,Polynésie Française,33.80906293787106
TK,1998,4,Fruits,1538,Tokelau,2.6007802340702213
TK,2001,11,Fruits,1482,Tokelau,7.422402159244264
TK,2002,9,Fruits,1414,Tokelau,6.364922206506365
TK,2003,23,Fruits,1346,Tokelau,17.087667161961367
TK,2004,7,Fruits,1278,Tokelau,5.477308294209703
TK,2005,7,Fruits,1210,Tokelau,5.785123966942148
TK,2006,27,Fruits,1196,Tokelau,22.5752508361204
TK,2007,4,Fruits,1182,Tokelau,3.3840947546531304
TK,2010,18,Fruits,1140,Tokelau,15.789473684210527
TK,2012,25,Fruits,1262,Tokelau,19.80982567353407
TK,2013,3,Fruits,1323,Tokelau,2.2675736961451247
TK,2015,22,Fruits,1445,Tokelau,15.22491349480969
TK,2016,2,Fruits,1504,Tokelau,1.3297872340425532
TK,2017,16,Fruits,1502,Tokelau,10.652463382157125
TK,2018,19,Fruits,1507,Tokelau,12.607830126078301
SB,1995,255,Légumes et tubercules,359200,Îles Salomon,0.70991091314031185
SB,1996,320,Légumes et tubercules,369900,Îles Salomon,0.8650986753176534
SB,1997,334,Légumes et tubercules,380600,Îles Salomon,0.8775617446137677
SB,1998,399,Légumes et tubercules,391200,Îles Salomon,1.0199386503067485
SB,1999,389,Légumes et tubercules,401900,Îles Salomon,0.9679024632993283
SB,2000,317,Légumes et tubercules,412600,Îles Salomon,0.7682985942801744
SB,2001,294,Légumes et tubercules,424100,Îles Salomon,0.6932327281301579
SB,2002,354,Légumes et tubercules,435500,Îles Salomon,0.8128587830080367
SB,2003,601,Légumes et tubercules,447000,Îles Salomon,1.3445190156599554
SB,2004,601,Légumes et tubercules,458400,Îles Salomon,1.3110820244328099
SB,2005,580,Légumes et tubercules,469900,Îles Salomon,1.2343051713130453
SB,2006,600,Légumes et tubercules,490300,Îles Salomon,1.223740566999796
SB,2007,618,Légumes et tubercules,510700,Îles Salomon,1.2101037791266889
SB,2008,505,Légumes et tubercules,531100,Îles Salomon,0.9508567124835248
SB,2009,674,Légumes et tubercules,551523,Îles Salomon,1.2220705210843428
SB,2010,617,Légumes et tubercules,565435,Îles Salomon,1.0911952744347273
SB,2011,737,Légumes et tubercules,579468,Îles Salomon,1.271856254357445
SB,2012,919,Légumes et tubercules,593614,Îles Salomon,1.5481440801598345
SB,2013,1194,Légumes et tubercules,607857,Îles Salomon,1.9642777824389617
SB,2014,1124,Légumes et tubercules,622225,Îles Salomon,1.8064205070513077
SB,2015,1164,Légumes et tubercules,636712,Îles Salomon,1.8281420799356694
SB,2016,1217,Légumes et tubercules,651348,Îles Salomon,1.8684328500279421
SB,2017,1261,Légumes et tubercules,666161,Îles Salomon,1.892935791798079
SB,2018,1487,Légumes et tubercules,681184,Îles Salomon,2.182963780711232
PG,1995,1859,Fruits,4894000,Papouasie Nouvelle-Guinée,0.3798528810788721
PG,1996,2608,Fruits,5030000,Papouasie Nouvelle-Guinée,0.5184890656063619
PG,1997,2040,Fruits,5165000,Papouasie Nouvelle-Guinée,0.39496611810261373
PG,1998,1822,Fruits,5301000,Papouasie Nouvelle-Guinée,0.34370873420109416
PG,1999,1260,Fruits,5436000,Papouasie Nouvelle-Guinée,0.23178807947019867
PG,2000,1508,Fruits,5572000,Papouasie Nouvelle-Guinée,0.2706389088298636
PG,2001,1878,Fruits,5721000,Papouasie Nouvelle-Guinée,0.3282642894598847
PG,2002,1205,Fruits,5869000,Papouasie Nouvelle-Guinée,0.20531606747316408
PG,2003,1171,Fruits,6018000,Papouasie Nouvelle-Guinée,0.19458291791292787
PG,2004,1579,Fruits,6166000,Papouasie Nouvelle-Guinée,0.2560817385663315
PG,2005,1688,Fruits,6315000,Papouasie Nouvelle-Guinée,0.26730007917656373
PG,2006,1733,Fruits,6474000,Papouasie Nouvelle-Guinée,0.26768612913191225
PG,2007,2180,Fruits,6632000,Papouasie Nouvelle-Guinée,0.3287092882991556
PG,2008,2719,Fruits,6791000,Papouasie Nouvelle-Guinée,0.4003828596672066
PG,2009,2639,Fruits,6949000,Papouasie Nouvelle-Guinée,0.379766872931357
PG,2010,2857,Fruits,7108000,Papouasie Nouvelle-Guinée,0.40194147439504785
PG,2011,3729,Fruits,7275326,Papouasie Nouvelle-Guinée,0.5125543515163444
PG,2012,5914,Fruits,7454857,Papouasie Nouvelle-Guinée,0.7933083089320158
PG,2013,6204,Fruits,7634976,Papouasie Nouvelle-Guinée,0.8125762281374558
PG,2014,4660,Fruits,7816780,Papouasie Nouvelle-Guinée,0.5961534033195255
PG,2015,5294,Fruits,8000322,Papouasie Nouvelle-Guinée,0.6617233656345332
PG,2016,5018,Fruits,8185370,Papouasie Nouvelle-Guinée,0.6130449814730428
PG,2017,5364,Fruits,8371613,Papouasie Nouvelle-Guinée,0.6407367373527658
PG,2018,5984,Fruits,8558701,Papouasie Nouvelle-Guinée,0.6991715214727094
MP,2002,84,Fruits,66950,Îles Mariannes du Nord,1.2546676624346529
MP,2003,59,Fruits,65880,Îles Mariannes du Nord,0.8955676988463873
MP,2004,65,Fruits,64810,Îles Mariannes du Nord,1.0029316463508717
MP,2005,76,Fruits,63740,Îles Mariannes du Nord,1.1923438970818951
MP,2006,140,Fruits,61750,Îles Mariannes du Nord,2.267206477732793
MP,2007,71,Fruits,59750,Îles Mariannes du Nord,1.1882845188284519
MP,2008,51,Fruits,57760,Îles Mariannes du Nord,0.8829639889196675
MP,2009,74,Fruits,55760,Îles Mariannes du Nord,1.327116212338594
MP,2010,51,Fruits,53772,Îles Mariannes du Nord,0.9484490069180986
MP,2011,72,Fruits,54159,Îles Mariannes du Nord,1.3294189331413062
MP,2012,54,Fruits,54507,Îles Mariannes du Nord,0.9906984424018933
MP,2013,88,Fruits,54840,Îles Mariannes du Nord,1.6046681254558717
TK,1997,0,Légumes et tubercules,1532,Tokelau,0
TK,2001,23,Légumes et tubercules,1482,Tokelau,15.5195681511471
TK,2002,30,Légumes et tubercules,1414,Tokelau,21.216407355021218
TK,2003,31,Légumes et tubercules,1346,Tokelau,23.031203566121842
TK,2004,25,Légumes et tubercules,1278,Tokelau,19.561815336463226
TK,2005,19,Légumes et tubercules,1210,Tokelau,15.702479338842977
TK,2006,24,Légumes et tubercules,1196,Tokelau,20.066889632107024
TK,2007,23,Légumes et tubercules,1182,Tokelau,19.4585448392555
TK,2012,6,Légumes et tubercules,1262,Tokelau,4.754358161648177
TK,2013,9,Légumes et tubercules,1323,Tokelau,6.802721088435374
TK,2016,1,Légumes et tubercules,1504,Tokelau,0.6648936170212766
TK,2017,56,Légumes et tubercules,1502,Tokelau,37.28362183754994
TK,2018,43,Légumes et tubercules,1507,Tokelau,28.533510285335105
TO,1995,198,Fruits,96080,Tonga,2.060782681099084
TO,1996,121,Fruits,96480,Tonga,1.254145936981758
TO,1997,163,Fruits,96880,Tonga,1.6824938067712634
TO,1998,291,Fruits,97280,Tonga,2.9913651315789473
TO,1999,189,Fruits,97680,Tonga,1.934889434889435
TO,2000,251,Fruits,98080,Tonga,2.559135399673736
TO,2001,202,Fruits,98660,Tonga,2.047435637543077
TO,2002,311,Fruits,99250,Tonga,3.133501259445844
TO,2003,237,Fruits,99830,Tonga,2.3740358609636383
TO,2004,182,Fruits,100420,Tonga,1.8123879705238
TO,2005,390,Fruits,101000,Tonga,3.8613861386138613
TO,2006,377,Fruits,101600,Tonga,3.7106299212598426
TO,2007,303,Fruits,102200,Tonga,2.964774951076321
TO,2008,389,Fruits,102900,Tonga,3.7803692905733723
TO,2009,460,Fruits,103500,Tonga,4.444444444444445
TO,2010,374,Fruits,104100,Tonga,3.5926993275696444
TO,2011,260,Fruits,103600,Tonga,2.5096525096525095
TO,2012,301,Fruits,103100,Tonga,2.9194956353055286
TO,2013,416,Fruits,102700,Tonga,4.050632911392405
TO,2014,380,Fruits,102200,Tonga,3.7181996086105675
TO,2015,470,Fruits,101700,Tonga,4.621435594886922
TO,2016,725,Fruits,101224,Tonga,7.162333043546984
TO,2017,807,Fruits,100793,Tonga,8.006508388479359
TO,2018,962,Fruits,100404,Tonga,9.581291582008685
VU,1995,375,Légumes et tubercules,168200,Vanuatu,2.2294887039239
VU,1996,400,Légumes et tubercules,171600,Vanuatu,2.331002331002331
VU,1997,286,Légumes et tubercules,175000,Vanuatu,1.6342857142857141
VU,1998,350,Légumes et tubercules,178300,Vanuatu,1.962983735277622
VU,1999,429,Légumes et tubercules,181700,Vanuatu,2.3610346725371487
VU,2000,639,Légumes et tubercules,185100,Vanuatu,3.452188006482982
VU,2001,609,Légumes et tubercules,190000,Vanuatu,3.205263157894737
VU,2002,516,Légumes et tubercules,194800,Vanuatu,2.648870636550308
VU,2003,503,Légumes et tubercules,199700,Vanuatu,2.5187781672508764
VU,2004,708,Légumes et tubercules,204500,Vanuatu,3.4621026894865525
VU,2005,725,Légumes et tubercules,209400,Vanuatu,3.4622731614135627
VU,2006,905,Légumes et tubercules,214800,Vanuatu,4.213221601489757
VU,2007,933,Légumes et tubercules,220200,Vanuatu,4.237057220708447
VU,2008,1030,Légumes et tubercules,225500,Vanuatu,4.567627494456763
VU,2009,1221,Légumes et tubercules,230900,Vanuatu,5.288003464703335
VU,2010,1413,Légumes et tubercules,236300,Vanuatu,5.979686838764283
VU,2011,1529,Légumes et tubercules,241700,Vanuatu,6.326023996690112
VU,2012,1286,Légumes et tubercules,247200,Vanuatu,5.202265372168285
VU,2013,1236,Légumes et tubercules,252600,Vanuatu,4.89311163895487
VU,2014,1243,Légumes et tubercules,258000,Vanuatu,4.817829457364341
VU,2015,1299,Légumes et tubercules,263500,Vanuatu,4.9297912713472485
VU,2016,1440,Légumes et tubercules,268924,Vanuatu,5.35467269563148
VU,2017,1344,Légumes et tubercules,275256,Vanuatu,4.882727351992328
VU,2018,1905,Légumes et tubercules,281669,Vanuatu,6.7632575824815655
NR,1995,134,Fruits,9970,Nauru,13.440320962888666
NR,1996,26,Fruits,9984,Nauru,2.6041666666666665
NR,1997,11,Fruits,9998,Nauru,1.1002200440088017
NR,1999,10,Fruits,10026,Nauru,0.997406742469579
NR,2000,35,Fruits,10040,Nauru,3.4860557768924303
NR,2001,60,Fruits,10050,Nauru,5.970149253731344
NR,2002,75,Fruits,10070,Nauru,7.447864945382324
NR,2003,283,Fruits,10080,Nauru,28.075396825396826
NR,2004,3,Fruits,10100,Nauru,0.297029702970297
NR,2005,225,Fruits,10110,Nauru,22.25519287833828
NR,2006,12,Fruits,10090,Nauru,1.1892963330029733
NR,2007,39,Fruits,10080,Nauru,3.869047619047619
NR,2008,15,Fruits,10060,Nauru,1.4910536779324055
NR,2009,28,Fruits,10050,Nauru,2.7860696517412937
NR,2010,32,Fruits,10030,Nauru,3.1904287138584246
NR,2011,52,Fruits,10200,Nauru,5.098039215686275
NR,2012,95,Fruits,10370,Nauru,9.161041465766635
NR,2013,436,Fruits,10540,Nauru,41.36622390891841
NR,2014,503,Fruits,10710,Nauru,46.965452847805786
NR,2015,164,Fruits,10880,Nauru,15.073529411764707
NR,2016,169,Fruits,11060,Nauru,15.280289330922242
NR,2017,233,Fruits,11230,Nauru,20.7479964381122
NR,2018,382,Fruits,11400,Nauru,33.50877192982456
WS,1995,1018,Légumes et tubercules,170200,Samoa,5.981198589894242
WS,1996,1120,Légumes et tubercules,171100,Samoa,6.5458796025715955
WS,1997,1187,Légumes et tubercules,172000,Samoa,6.901162790697675
WS,1998,1230,Légumes et tubercules,172800,Samoa,7.118055555555555
WS,1999,1401,Légumes et tubercules,173700,Samoa,8.065630397236614
WS,2000,1747,Légumes et tubercules,174600,Samoa,10.005727376861397
WS,2001,1892,Légumes et tubercules,175700,Samoa,10.76835515082527
WS,2002,2025,Légumes et tubercules,176700,Samoa,11.460101867572156
WS,2003,1887,Légumes et tubercules,177800,Samoa,10.613048368953882
WS,2004,2292,Légumes et tubercules,178800,Samoa,12.818791946308725
WS,2005,2287,Légumes et tubercules,179900,Samoa,12.712618121178432
WS,2006,2656,Légumes et tubercules,181200,Samoa,14.657836644591612
WS,2007,2621,Légumes et tubercules,182400,Samoa,14.369517543859649
WS,2008,2829,Légumes et tubercules,183700,Samoa,15.400108873162765
WS,2009,2888,Légumes et tubercules,184900,Samoa,15.619253650621957
WS,2010,2726,Légumes et tubercules,186200,Samoa,14.64017185821697
WS,2011,2863,Légumes et tubercules,187500,Samoa,15.269333333333332
WS,2012,3199,Légumes et tubercules,188900,Samoa,16.9348861831657
WS,2013,3272,Légumes et tubercules,190200,Samoa,17.20294426919033
WS,2014,3094,Légumes et tubercules,191500,Samoa,16.156657963446477
WS,2015,3446,Légumes et tubercules,192800,Samoa,17.873443983402492
WS,2016,3703,Légumes et tubercules,194183,Samoa,19.069640493761042
WS,2017,3545,Légumes et tubercules,195278,Samoa,18.1536066530792
WS,2018,3568,Légumes et tubercules,196379,Samoa,18.16894881835634
VU,1995,35,Fruits,168200,Vanuatu,0.20808561236623066
VU,1996,32,Fruits,171600,Vanuatu,0.1864801864801865
VU,1997,53,Fruits,175000,Vanuatu,0.3028571428571429
VU,1998,50,Fruits,178300,Vanuatu,0.28042624789680315
VU,1999,85,Fruits,181700,Vanuatu,0.4678040726472207
VU,2000,24,Fruits,185100,Vanuatu,0.12965964343598058
VU,2001,21,Fruits,190000,Vanuatu,0.1105263157894737
VU,2002,42,Fruits,194800,Vanuatu,0.21560574948665298
VU,2003,118,Fruits,199700,Vanuatu,0.5908863294942414
VU,2004,160,Fruits,204500,Vanuatu,0.78239608801956
VU,2005,151,Fruits,209400,Vanuatu,0.7211079274116524
VU,2006,203,Fruits,214800,Vanuatu,0.9450651769087524
VU,2007,267,Fruits,220200,Vanuatu,1.212534059945504
VU,2008,255,Fruits,225500,Vanuatu,1.130820399113082
VU,2009,308,Fruits,230900,Vanuatu,1.3339107838891293
VU,2010,250,Fruits,236300,Vanuatu,1.0579771476936097
VU,2011,345,Fruits,241700,Vanuatu,1.4273893256102606
VU,2012,318,Fruits,247200,Vanuatu,1.2864077669902911
VU,2013,283,Fruits,252600,Vanuatu,1.1203483768804434
VU,2014,247,Fruits,258000,Vanuatu,0.9573643410852712
VU,2015,401,Fruits,263500,Vanuatu,1.521821631878558
VU,2016,338,Fruits,268924,Vanuatu,1.2568606743912778
VU,2017,363,Fruits,275256,Vanuatu,1.3187723428372133
VU,2018,406,Fruits,281669,Vanuatu,1.4414081776837353
MP,2006,0,Légumes et tubercules,61750,Îles Mariannes du Nord,0
MP,2007,0,Légumes et tubercules,59750,Îles Mariannes du Nord,0
