Province,N_region,N_group_prod veget,N_productions vegetales,Animaux,Ceremonie,Conso,Dons_reguliers,Perdue,Semences,Total
Province Nord,Nord Ouest,Arbre fruitier,Autres fruits (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Avocat,0,0,5,3,3,0,11
Province Nord,Nord Ouest,Arbre fruitier,Carambole,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Cerisier,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Citron et lime,0,3,11,6,7,0,27
Province Nord,Nord Ouest,Arbre fruitier,Corossol,0,0,2,1,1,0,4
Province Nord,Nord Ouest,Arbre fruitier,Cœur de bœuf,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Goyave,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Jacques,0,0,2,2,1,0,5
Province Nord,Nord Ouest,Arbre fruitier,Jamelonier,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Kaki,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Litchi,0,0,7,2,3,0,12
Province Nord,Nord Ouest,Arbre fruitier,Mandarine,0,1,23,15,13,0,52
Province Nord,Nord Ouest,Arbre fruitier,Mangue,2,1,40,22,47,1,113
Province Nord,Nord Ouest,Arbre fruitier,Murier,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Orange,0,0,18,18,10,0,46
Province Nord,Nord Ouest,Arbre fruitier,Pamplemousse,0,0,5,5,10,0,20
Province Nord,Nord Ouest,Arbre fruitier,Papaye,0,0,9,5,7,0,21
Province Nord,Nord Ouest,Arbre fruitier,Pomme cannelle,0,0,1,0,0,0,1
Province Nord,Nord Ouest,Arbre fruitier,Pomme citerne,0,0,2,1,1,0,4
Province Nord,Nord Ouest,Arbre fruitier,Pomme kanak,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Pomme rose,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Arbre fruitier,Pêche,0,0,1,0,1,0,2
Province Nord,Nord Ouest,Arbre fruitier,Tamarin,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Banane dessert,Banane dessert,4,100,131,59,61,0,355
Province Nord,Nord Ouest,Banane poingo,Banane poingo,0,57,48,17,10,1,133
Province Nord,Nord Ouest,Cocotier,Cocotier,7,10,32,9,18,2,78
Province Nord,Nord Ouest,Cultures spéciales,Café arabica,0,0,1,0,0,0,1
Province Nord,Nord Ouest,Cultures spéciales,Café robusta,0,1,0,0,0,0,1
Province Nord,Nord Ouest,Cultures spéciales,Canne à sucre,0,9,27,8,12,0,56
Province Nord,Nord Ouest,Cultures spéciales,Citronnelle,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Cultures spéciales,Vanille,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Ambrevade,0,0,2,0,0,0,2
Province Nord,Nord Ouest,Légume & fruit plein champ,Ananas,0,0,11,6,2,0,19
Province Nord,Nord Ouest,Légume & fruit plein champ,Autre légume de plein champ (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Autres légumes (à préciser),0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Brèdes,0,0,2,2,0,0,4
Province Nord,Nord Ouest,Légume & fruit plein champ,Carotte,0,0,2,1,0,0,3
Province Nord,Nord Ouest,Légume & fruit plein champ,Chou de chine,0,0,2,1,0,0,3
Province Nord,Nord Ouest,Légume & fruit plein champ,Chou kanak,0,1,6,3,1,0,11
Province Nord,Nord Ouest,Légume & fruit plein champ,Chou rouge,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Chou vert,0,0,2,0,0,0,2
Province Nord,Nord Ouest,Légume & fruit plein champ,Chouchoute,0,0,10,10,2,0,22
Province Nord,Nord Ouest,Légume & fruit plein champ,Citrouille,0,4,9,3,2,0,18
Province Nord,Nord Ouest,Légume & fruit plein champ,Concombre,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Courgette,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Céleri,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Fines herbes,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Fraise,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Haricot toutes sortes,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Haricot vert,0,1,5,3,1,0,10
Province Nord,Nord Ouest,Légume & fruit plein champ,Maïs doux,0,0,1,0,0,0,1
Province Nord,Nord Ouest,Légume & fruit plein champ,Oignon sec,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Oignon vert,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Pastèque,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Persil,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Piment,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Poireau,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Poivron,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Pomme de terre,0,0,1,1,0,0,2
Province Nord,Nord Ouest,Légume & fruit plein champ,Pomme liane,0,0,2,1,1,0,4
Province Nord,Nord Ouest,Légume & fruit plein champ,Radis,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Salade,0,3,6,5,1,0,15
Province Nord,Nord Ouest,Légume & fruit plein champ,Squash,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Légume & fruit plein champ,Tomate,0,0,4,1,1,0,6
Province Nord,Nord Ouest,Légume & fruit plein champ,Tomate cerise,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Pépinière et ornement,Pépinière de plein champ,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Tubercule,Autre tubercule tropical (à préciser),0,0,0,1,0,0,1
Province Nord,Nord Ouest,Tubercule,Igname de saison,0,95,86,23,14,72,290
Province Nord,Nord Ouest,Tubercule,Manioc,1,46,79,38,10,3,177
Province Nord,Nord Ouest,Tubercule,Patate douce,0,1,10,3,1,0,15
Province Nord,Nord Ouest,Tubercule,Taro bourbon,0,0,0,0,0,0,0
Province Nord,Nord Ouest,Tubercule,Taro d'eau,0,13,11,5,5,5,39
Province Nord,Nord Ouest,Tubercule,Taro de montagne,0,4,16,7,3,5,35
Province Nord,Grand Nord,Arbre fruitier,Autres fruits (à préciser),0,0,3,0,1,0,4
Province Nord,Grand Nord,Arbre fruitier,Avocat,1,0,10,6,5,0,22
Province Nord,Grand Nord,Arbre fruitier,Carambole,0,0,0,0,0,0,0
Province Nord,Grand Nord,Arbre fruitier,Citron et lime,0,2,23,15,19,0,59
Province Nord,Grand Nord,Arbre fruitier,Corossol,1,0,7,2,3,0,13
Province Nord,Grand Nord,Arbre fruitier,Cœur de bœuf,0,0,1,0,1,0,2
Province Nord,Grand Nord,Arbre fruitier,Fruit à pain,0,0,1,1,0,0,2
Province Nord,Grand Nord,Arbre fruitier,Goyave,0,0,1,0,0,0,1
Province Nord,Grand Nord,Arbre fruitier,Jacques,0,0,9,4,4,0,17
Province Nord,Grand Nord,Arbre fruitier,Jamelonier,0,0,0,0,1,0,1
Province Nord,Grand Nord,Arbre fruitier,Kaki,0,0,0,0,0,0,0
Province Nord,Grand Nord,Arbre fruitier,Litchi,0,0,3,0,1,0,4
Province Nord,Grand Nord,Arbre fruitier,Mandarine,0,2,32,29,17,0,80
Province Nord,Grand Nord,Arbre fruitier,Mangue,39,1,67,48,95,0,250
Province Nord,Grand Nord,Arbre fruitier,Murier,0,0,0,0,0,0,0
Province Nord,Grand Nord,Arbre fruitier,Orange,0,2,34,25,9,0,70
Province Nord,Grand Nord,Arbre fruitier,Pamplemousse,0,0,8,5,8,0,21
Province Nord,Grand Nord,Arbre fruitier,Papaye,2,5,35,13,19,0,74
Province Nord,Grand Nord,Arbre fruitier,Pomme cannelle,0,0,3,1,2,0,6
Province Nord,Grand Nord,Arbre fruitier,Pomme citerne,0,0,4,4,7,0,15
Province Nord,Grand Nord,Arbre fruitier,Pomme kanak,0,0,1,0,1,0,2
Province Nord,Grand Nord,Arbre fruitier,Pêche,0,0,1,0,0,0,1
Province Nord,Grand Nord,Arbre fruitier,Tamarin,0,0,0,0,0,0,0
