Province,N_region,FK_DA1_Menage,N_group_prod veget,N_productions vegetales,Coef_extrap_GD
Province des Îles,Maré,J170P,Productions végétales totales,Légume & fruit plein champ,5
Province des Îles,Maré,J170P,Productions végétales totales,Arbre fruitier,5
Province des Îles,Maré,J170P,Productions végétales totales,Tubercule,5
Province des Îles,Maré,J170P,Productions végétales totales,Cocotier,5
Province des Îles,Maré,J170P,Productions végétales totales,Banane poingo,5
Province des Îles,Maré,J170P,Productions végétales totales,Banane dessert,5
Province des Îles,Maré,J169P,Productions végétales totales,Légume & fruit plein champ,12
Province des Îles,Maré,J169P,Productions végétales totales,Tubercule,12
Province des Îles,Maré,J169P,Productions végétales totales,Banane dessert,12
Province des Îles,Maré,J169P,Productions végétales totales,Cocotier,12
Province des Îles,Maré,J169P,Productions végétales totales,Arbre fruitier,12
Province des Îles,Maré,J167P,Productions végétales totales,Légume & fruit plein champ,12
Province des Îles,Maré,J167P,Productions végétales totales,Tubercule,12
Province des Îles,Maré,J167P,Productions végétales totales,Arbre fruitier,12
Province des Îles,Maré,J167P,Productions végétales totales,Cocotier,12
Province des Îles,Maré,J167P,Productions végétales totales,Banane poingo,12
Province des Îles,Maré,J167P,Productions végétales totales,Banane dessert,12
Province des Îles,Maré,J166S,Productions végétales totales,Légume & fruit plein champ,12
Province des Îles,Maré,J166S,Productions végétales totales,Banane poingo,12
Province des Îles,Maré,J166S,Productions végétales totales,Tubercule,12
Province des Îles,Maré,J166S,Productions végétales totales,Banane dessert,12
Province des Îles,Maré,J166S,Productions végétales totales,Arbre fruitier,12
Province des Îles,Maré,J166P,Productions végétales totales,Banane poingo,9
Province des Îles,Maré,J166P,Productions végétales totales,Banane dessert,9
Province des Îles,Maré,J166P,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J166P,Productions végétales totales,Légume & fruit plein champ,9
Province des Îles,Maré,J166P,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J166P,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J165P,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J165P,Productions végétales totales,Légume & fruit plein champ,9
Province des Îles,Maré,J165P,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J165P,Productions végétales totales,Banane poingo,9
Province des Îles,Maré,J165P,Productions végétales totales,Banane dessert,9
Province des Îles,Maré,J165P,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J164S,Productions végétales totales,Légume & fruit plein champ,9
Province des Îles,Maré,J164S,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J164S,Productions végétales totales,Cultures spéciales,9
Province des Îles,Maré,J164S,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J164S,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J164S,Productions végétales totales,Banane poingo,9
Province des Îles,Maré,J164S,Productions végétales totales,Banane dessert,9
Province des Îles,Maré,J163P,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J163P,Productions végétales totales,Banane poingo,9
Province des Îles,Maré,J163P,Productions végétales totales,Banane dessert,9
Province des Îles,Maré,J163P,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J163P,Productions végétales totales,Cultures spéciales,9
Province des Îles,Maré,J163P,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J160S,Productions végétales totales,Tubercule,11
Province des Îles,Maré,J160S,Productions végétales totales,Légume & fruit plein champ,11
Province des Îles,Maré,J160S,Productions végétales totales,Arbre fruitier,11
Province des Îles,Maré,J160S,Productions végétales totales,Cocotier,11
Province des Îles,Maré,J160S,Productions végétales totales,Banane poingo,11
Province des Îles,Maré,J160S,Productions végétales totales,Banane dessert,11
Province des Îles,Maré,J158P,Productions végétales totales,Tubercule,12
Province des Îles,Maré,J158P,Productions végétales totales,Légume & fruit plein champ,12
Province des Îles,Maré,J158P,Productions végétales totales,Banane dessert,12
Province des Îles,Maré,J158P,Productions végétales totales,Arbre fruitier,12
Province des Îles,Maré,J158P,Productions végétales totales,Cocotier,12
Province des Îles,Maré,J157S,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J157S,Productions végétales totales,Légume & fruit plein champ,9
Province des Îles,Maré,J157S,Productions végétales totales,Banane dessert,9
Province des Îles,Maré,J157S,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J157S,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J157P,Productions végétales totales,Cocotier,5
Province des Îles,Maré,J157P,Productions végétales totales,Tubercule,5
Province des Îles,Maré,J157P,Productions végétales totales,Légume & fruit plein champ,5
Province des Îles,Maré,J157P,Productions végétales totales,Banane poingo,5
Province des Îles,Maré,J157P,Productions végétales totales,Arbre fruitier,5
Province des Îles,Maré,J157P,Productions végétales totales,Banane dessert,5
Province des Îles,Maré,J155S,Productions végétales totales,Légume & fruit plein champ,9
Province des Îles,Maré,J155S,Productions végétales totales,Tubercule,9
Province des Îles,Maré,J155S,Productions végétales totales,Arbre fruitier,9
Province des Îles,Maré,J155S,Productions végétales totales,Cocotier,9
Province des Îles,Maré,J154P,Productions végétales totales,Légume & fruit plein champ,12
Province des Îles,Maré,J154P,Productions végétales totales,Banane dessert,12
Province des Îles,Maré,J154P,Productions végétales totales,Tubercule,12
Province des Îles,Maré,J154P,Productions végétales totales,Arbre fruitier,12
Province des Îles,Maré,J154P,Productions végétales totales,Cultures spéciales,12
Province des Îles,Maré,J154P,Productions végétales totales,Cocotier,12
Province des Îles,Maré,J152S,Productions végétales totales,Légume & fruit plein champ,11
Province des Îles,Maré,J152S,Productions végétales totales,Banane dessert,11
Province des Îles,Maré,J152S,Productions végétales totales,Tubercule,11
Province des Îles,Maré,J152S,Productions végétales totales,Banane poingo,11
Province des Îles,Maré,J152S,Productions végétales totales,Arbre fruitier,11
Province des Îles,Maré,J152S,Productions végétales totales,Cocotier,11
